TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-09-24,2026-09-24,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,7104.65,7140.60,7075.00,7115.00,7115.00,7106.00,,7128.35,,,3402,24208926.00,751,F1,1,,,,,
2026-09-24,2026-09-24,CM,BSE,STK,500325,INE002A01018,RELIANCE,A,,,,,RELIANCE INDUSTRIES LTD.,1238.00,1242.00,1219.00,1219.00,1219.00,1247.05,,1219.12,,,1453295,1782021360.00,28719,F1,1,,,,,
2026-09-24,2026-09-24,CM,BSE,STK,500020,INE032A01023,BOMDYEING,B,,,,,BOMBAY DYEING & MFG.CO.LTD.,111.55,111.75,109.10,109.85,109.10,111.70,,109.64,,,35473,3907980.00,449,F1,1,,,,,
2026-09-24,2026-09-24,CM,BSE,STK,500051,INE099C01010,BHAGGAS,XT,,,,,BHAGAWATI GAS LIMITED,8.37,8.37,8.25,8.37,8.37,7.98,,8.37,,,16383,137096.00,43,F1,1,,,,,
2026-09-24,2026-09-24,CM,BSE,STK,538496,INE849M01017,TARINI,M,,,,,TARINI INTERNATIONAL LTD,7.47,7.47,7.47,7.47,7.47,7.47,,7.47,,,3000,22410.00,1,F1,3000,,,,,
2026-09-24,2026-09-24,CM,BSE,STK,532985,INF174KA1JD7,SENSEX1,B,,,,,KOTAK MAHINDRA MUTUAL FUND,82.18,82.48,80.74,81.29,81.33,82.18,,81.29,,,3413,277093.00,103,F1,1,,,,,
2026-09-24,2026-09-24,CM,BSE,STK,541097,INF740KA1EU7,LIQUIDETF,F,,,,,DSP NIFTY 1D Rate Liquid ETF,1000.00,1000.01,999.99,1000.01,999.99,1000.00,,1000.00,,,1784,1783994.00,68,F1,1,,,,,
2026-09-24,2026-09-24,CM,BSE,STK,500520,INE101A01026,M&M,A,,,,,MAHINDRA & MAHINDRA LTD.,3033.20,3038.65,2965.00,2965.00,2965.00,3035.00,,2976.18,,,177105,532030721.00,11350,F1,1,,,,,
